Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,6e-06,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-3.6480e-06,0.16,0.24
-3.6460e-06,0.08,0.24
-3.6440e-06,0.16,0.08
-3.6420e-06,0.16,0.16
-3.6400e-06,0.16,0.16
-3.6380e-06,0.08,0.16
-3.6360e-06,0.16,0.08
-3.6340e-06,0.16,0.16
-3.6320e-06,0.08,0.16
-3.6300e-06,0.24,0.16
-3.6280e-06,0.08,0.24
-3.6260e-06,0.16,0.08
-3.6240e-06,0.24,0.16
-3.6220e-06,0.16,0.16
-3.6200e-06,0.08,0.16
-3.6180e-06,0.16,0.16
-3.6160e-06,0.08,0.16
-3.6140e-06,0.08,0.08
-3.6120e-06,0.16,0.16
-3.6100e-06,0.16,0.16
-3.6080e-06,0.08,0.16
-3.6060e-06,0.08,0.16
-3.6040e-06,0.24,0.16
-3.6020e-06,0.08,0.16
-3.6000e-06,0.08,0.24
-3.5980e-06,0.16,0.16
-3.5960e-06,0.08,0.16
-3.5940e-06,0.16,0.24
-3.5920e-06,0.16,0.16
-3.5900e-06,0.08,0.24
-3.5880e-06,0,0.16
-3.5860e-06,0.08,0.16
-3.5840e-06,0.24,0.16
-3.5820e-06,0.08,0.16
-3.5800e-06,0.16,0.16
-3.5780e-06,0.08,0.16
-3.5760e-06,0.16,0.16
-3.5740e-06,0.08,0.24
-3.5720e-06,0.16,0.16
-3.5700e-06,0.24,0.16
-3.5680e-06,0.08,0.16
-3.5660e-06,0.16,0.16
-3.5640e-06,0.08,0.16
-3.5620e-06,0.16,0.08
-3.5600e-06,0.24,0.16
-3.5580e-06,0.16,0.16
-3.5560e-06,0.16,0.16
-3.5540e-06,0.08,0.16
-3.5520e-06,0.16,0.16
-3.5500e-06,0.08,0.24
-3.5480e-06,0.08,0.16
-3.5460e-06,0.16,0.24
-3.5440e-06,0.24,0.16
-3.5420e-06,0.08,0.08
-3.5400e-06,0.08,0.16
-3.5380e-06,0.08,0.08
-3.5360e-06,0.08,0.16
-3.5340e-06,0.08,0.24
-3.5320e-06,0.08,0.16
-3.5300e-06,0.16,0.16
-3.5280e-06,0.16,0.16
-3.5260e-06,0.16,0.16
-3.5240e-06,0.16,0.16
-3.5220e-06,0.08,0.16
-3.5200e-06,0.16,0.16
-3.5180e-06,0.16,0.08
-3.5160e-06,0.16,0.16
-3.5140e-06,0.16,0.16
-3.5120e-06,0.08,0.16
-3.5100e-06,0.08,0.08
-3.5080e-06,0.16,0.16
-3.5060e-06,0.16,0.08
-3.5040e-06,0.08,0.08
-3.5020e-06,0.08,0.16
-3.5000e-06,0.16,0.16
-3.4980e-06,0.16,0.24
-3.4960e-06,0.08,0.16
-3.4940e-06,0.16,0.08
-3.4920e-06,0.24,0.16
-3.4900e-06,0.16,0.16
-3.4880e-06,0.16,0.08
-3.4860e-06,0.16,0.24
-3.4840e-06,0.16,0.16
-3.4820e-06,0.08,0.16
-3.4800e-06,0.08,0.08
-3.4780e-06,0.08,0.16
-3.4760e-06,0.08,0.16
-3.4740e-06,0.16,0.16
-3.4720e-06,0.16,0.24
-3.4700e-06,0.08,0.16
-3.4680e-06,0.08,0.16
-3.4660e-06,0.08,0.16
-3.4640e-06,0.16,0.16
-3.4620e-06,0.16,0.24
-3.4600e-06,0.08,0.24
-3.4580e-06,0.16,0.16
-3.4560e-06,0.16,0.16
-3.4540e-06,0.08,0.08
-3.4520e-06,0.16,0.16
-3.4500e-06,0.16,0.16
-3.4480e-06,0.16,0.16
-3.4460e-06,0.08,0.24
-3.4440e-06,0.08,0.16
-3.4420e-06,0.16,0.16
-3.4400e-06,0.08,0.16
-3.4380e-06,0.16,0.08
-3.4360e-06,0.08,0.16
-3.4340e-06,0.24,0.16
-3.4320e-06,0.16,0.24
-3.4300e-06,0.08,0.16
-3.4280e-06,0.08,0.16
-3.4260e-06,0.16,0.16
-3.4240e-06,0.24,0.16
-3.4220e-06,0.16,0.16
-3.4200e-06,0.16,0.08
-3.4180e-06,0.16,0.24
-3.4160e-06,0.16,0.16
-3.4140e-06,0.08,0.08
-3.4120e-06,0.16,0.08
-3.4100e-06,0.08,0.24
-3.4080e-06,0.24,0.24
-3.4060e-06,0.16,0.08
-3.4040e-06,0.16,0.16
-3.4020e-06,0.08,0.08
-3.4000e-06,0.08,0.08
-3.3980e-06,0.08,0.16
-3.3960e-06,0.08,0.16
-3.3940e-06,0.08,0.08
-3.3920e-06,0.16,0.16
-3.3900e-06,0.16,0.24
-3.3880e-06,0.08,0.16
-3.3860e-06,0.16,0.16
-3.3840e-06,0.08,0.16
-3.3820e-06,0,0.08
-3.3800e-06,0.16,0.16
-3.3780e-06,0.16,0.16
-3.3760e-06,0.16,0.08
-3.3740e-06,0.16,0.16
-3.3720e-06,0.08,0.08
-3.3700e-06,0.16,0.16
-3.3680e-06,0.08,0.16
-3.3660e-06,0.16,0.16
-3.3640e-06,0.16,0.16
-3.3620e-06,0.16,0.08
-3.3600e-06,0.16,0.08
-3.3580e-06,0.16,0.32
-3.3560e-06,0.08,0.08
-3.3540e-06,0.08,0.16
-3.3520e-06,0.16,0.24
-3.3500e-06,0.08,0.16
-3.3480e-06,0.16,0.16
-3.3460e-06,0.16,0.08
-3.3440e-06,0.16,0.16
-3.3420e-06,0.16,0.24
-3.3400e-06,0.16,0.16
-3.3380e-06,0.16,0.16
-3.3360e-06,0.16,0.08
-3.3340e-06,0.24,0.16
-3.3320e-06,0.16,0.16
-3.3300e-06,0.16,0.16
-3.3280e-06,0.08,0.08
-3.3260e-06,0.08,0.16
-3.3240e-06,0.08,0.16
-3.3220e-06,0.08,0.16
-3.3200e-06,0.16,0.24
-3.3180e-06,0.16,0.16
-3.3160e-06,0.08,0.08
-3.3140e-06,0.08,0.24
-3.3120e-06,0.08,0.24
-3.3100e-06,0.08,0.16
-3.3080e-06,0.08,0.16
-3.3060e-06,0.16,0.16
-3.3040e-06,0.08,0.16
-3.3020e-06,0.08,0.16
-3.3000e-06,0.16,0.16
-3.2980e-06,0,0.08
-3.2960e-06,0.16,0.08
-3.2940e-06,0.08,0.16
-3.2920e-06,0.08,0.08
-3.2900e-06,0.16,0.16
-3.2880e-06,0.08,0.16
-3.2860e-06,0.16,0.24
-3.2840e-06,0.16,0.08
-3.2820e-06,0.08,0.24
-3.2800e-06,0.08,0.08
-3.2780e-06,0.16,0.08
-3.2760e-06,0.16,0.16
-3.2740e-06,0.08,0.08
-3.2720e-06,0.24,0.16
-3.2700e-06,0.16,0.24
-3.2680e-06,0.08,0.24
-3.2660e-06,0.08,0.24
-3.2640e-06,0.08,0.08
-3.2620e-06,0.16,0.24
-3.2600e-06,0.08,0.16
-3.2580e-06,0.16,0.24
-3.2560e-06,0.24,0.24
-3.2540e-06,0.16,0.08
-3.2520e-06,0.08,0.16
-3.2500e-06,0.16,0.16
-3.2480e-06,0.16,0.24
-3.2460e-06,0.16,0.08
-3.2440e-06,0.08,0.16
-3.2420e-06,0.24,0.16
-3.2400e-06,0.16,0.24
-3.2380e-06,0.08,0.16
-3.2360e-06,0.16,0.16
-3.2340e-06,0.08,0.08
-3.2320e-06,0.08,0.08
-3.2300e-06,0.16,0.24
-3.2280e-06,0.16,0.16
-3.2260e-06,0.08,0.16
-3.2240e-06,0.08,0.16
-3.2220e-06,0.16,0.24
-3.2200e-06,0.16,0.08
-3.2180e-06,0.16,0.08
-3.2160e-06,0.08,0.16
-3.2140e-06,0.24,0.24
-3.2120e-06,0.16,0.16
-3.2100e-06,0.08,0.16
-3.2080e-06,0.16,0.16
-3.2060e-06,0.08,0.08
-3.2040e-06,0.08,0.16
-3.2020e-06,0.16,0.16
-3.2000e-06,0.08,0.16
-3.1980e-06,0.08,0.16
-3.1960e-06,0.16,0.16
-3.1940e-06,0,0.24
-3.1920e-06,0.08,0.08
-3.1900e-06,0.24,0.24
-3.1880e-06,0.08,0.16
-3.1860e-06,0.24,0.08
-3.1840e-06,0.16,0.08
-3.1820e-06,0.16,0.16
-3.1800e-06,0.16,0.16
-3.1780e-06,0.16,0.16
-3.1760e-06,0.08,0.16
-3.1740e-06,0.16,0.08
-3.1720e-06,0.16,0.16
-3.1700e-06,0.24,0.16
-3.1680e-06,0.16,0.16
-3.1660e-06,0.16,0.16
-3.1640e-06,0.16,0.16
-3.1620e-06,0.16,0.08
-3.1600e-06,0.08,0.16
-3.1580e-06,0.08,0.16
-3.1560e-06,0.24,0.16
-3.1540e-06,0.16,0.08
-3.1520e-06,0.08,0.16
-3.1500e-06,0.16,0.16
-3.1480e-06,0.16,0.16
-3.1460e-06,0.24,0.16
-3.1440e-06,0.16,0.08
-3.1420e-06,0.08,0.08
-3.1400e-06,0.16,0.16
-3.1380e-06,0.08,0.16
-3.1360e-06,0.08,0.16
-3.1340e-06,0.08,0.08
-3.1320e-06,0.16,0.08
-3.1300e-06,0.16,0.24
-3.1280e-06,0.16,0.16
-3.1260e-06,0.08,0.16
-3.1240e-06,0.08,0.16
-3.1220e-06,0,0.16
-3.1200e-06,0.16,0.24
-3.1180e-06,0.08,0.16
