Time,Volt
-3.746e-06,0.320313
-3.744e-06,0.28
-3.742e-06,0.24
-3.740e-06,0.240313
-3.738e-06,0.2
-3.736e-06,0.280625
-3.734e-06,0.239063
-3.732e-06,0.2
-3.730e-06,0.202188
-3.728e-06,0.08
-3.726e-06,0.200625
-3.724e-06,0.20125
-3.722e-06,0.279375
-3.720e-06,0.159688
-3.718e-06,0.280938
-3.716e-06,0.28
-3.714e-06,0.240625
-3.712e-06,0.0809375
-3.710e-06,0.282188
-3.708e-06,0.156562
-3.706e-06,-0.0003125
-3.704e-06,0.079375
-3.702e-06,0.159063
-3.700e-06,0.279062
-3.698e-06,0.159063
-3.696e-06,0.28375
-3.694e-06,0.278437
-3.692e-06,0.12
-3.690e-06,0.0784375
-3.688e-06,0.160625
-3.686e-06,0.15875
-3.684e-06,0.121562
-3.682e-06,0.24
-3.680e-06,0.0778125
-3.678e-06,0.04
-3.676e-06,0.277188
-3.674e-06,0.239375
-3.672e-06,0.160625
-3.670e-06,0.239375
-3.668e-06,0.119687
-3.666e-06,0.241563
-3.664e-06,0.239375
-3.662e-06,0.28125
-3.660e-06,0.07875
-3.658e-06,0.122188
-3.656e-06,0.24
-3.654e-06,0.199688
-3.652e-06,0.200625
-3.650e-06,0.119375
-3.648e-06,0.242813
-3.646e-06,0.319688
-3.644e-06,0.237813
-3.642e-06,0.16125
-3.640e-06,0.32
-3.638e-06,0.162188
-3.636e-06,0.1175
-3.634e-06,0.32
-3.632e-06,0.159063
-3.630e-06,0.08375
-3.628e-06,0.321563
-3.626e-06,0.200625
-3.624e-06,0.121875
-3.622e-06,0.0390625
-3.620e-06,0.360312
-3.618e-06,0.158125
-3.616e-06,0.280938
-3.614e-06,0.16
-3.612e-06,0.080625
-3.610e-06,0.0771875
-3.608e-06,0.239688
-3.606e-06,0.16125
-3.604e-06,0.15875
-3.602e-06,0.160625
-3.600e-06,-0.0396875
-3.598e-06,0.190938
-3.596e-06,0.207813
-3.594e-06,-0.040625
-3.592e-06,0.19875
-3.590e-06,0.0796875
-3.588e-06,0.118125
-3.586e-06,0.279375
-3.584e-06,0.16625
-3.582e-06,0.119687
-3.580e-06,0.159688
-3.578e-06,0.199063
-3.576e-06,0.120625
-3.574e-06,0.279062
-3.572e-06,0.16625
-3.570e-06,0.0796875
-3.568e-06,0.2
-3.566e-06,0.12
-3.564e-06,0.243438
-3.562e-06,0.400312
-3.560e-06,0.16125
-3.558e-06,0.079375
-3.556e-06,0.1575
-3.554e-06,0.24
-3.552e-06,0.159688
-3.550e-06,0.160312
-3.548e-06,0.24
-3.546e-06,0.0821875
-3.544e-06,-0.0065625
-3.542e-06,0.240313
-3.540e-06,0.04
-3.538e-06,0.280313
-3.536e-06,0.160625
-3.534e-06,0.08
-3.532e-06,0.076875
-3.530e-06,0.120625
-3.528e-06,-0.08
-3.526e-06,0.121562
-3.524e-06,0.0396875
-3.522e-06,0.04
-3.520e-06,0.08
-3.518e-06,0.205
-3.516e-06,-0.0390625
-3.514e-06,0.08
-3.512e-06,0.0803125
-3.510e-06,0.19875
