Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0001,
Horizontal Delay,0.0003,
Sample Interval,1e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
4.510e-05,0.4,7.6
4.520e-05,0.4,7.4
4.530e-05,0.4,7.6
4.540e-05,0.48,7.8
4.550e-05,0.4,7.8
4.560e-05,0.4,7.8
4.570e-05,0.32,7.6
4.580e-05,0.32,7.4
4.590e-05,0.4,7.6
4.600e-05,0.32,7.6
4.610e-05,0.4,7.6
4.620e-05,0.32,7.4
4.630e-05,0.48,7.4
4.640e-05,0.4,7.6
4.650e-05,0.32,7.6
4.660e-05,0.4,7.6
4.670e-05,0.32,7.6
4.680e-05,0.32,7.6
4.690e-05,0.4,7.6
4.700e-05,0.32,7.6
4.710e-05,0.32,7.6
4.720e-05,0.4,7.6
4.730e-05,0.4,7.4
4.740e-05,0.4,7.6
4.750e-05,0.4,7.6
4.760e-05,0.4,7.4
4.770e-05,0.32,7.6
4.780e-05,0.32,7.4
4.790e-05,0.4,7.6
4.800e-05,0.32,7.8
4.810e-05,0.48,7.6
4.820e-05,0.4,7.6
4.830e-05,0.32,7.6
4.840e-05,0.32,7.4
4.850e-05,0.4,7.4
4.860e-05,0.4,7.4
4.870e-05,0.4,7.4
4.880e-05,0.32,7.4
4.890e-05,0.4,7.6
4.900e-05,0.32,7.6
4.910e-05,0.32,7.4
4.920e-05,0.32,7.6
4.930e-05,0.4,7.6
4.940e-05,0.32,7.4
4.950e-05,0.32,7.6
4.960e-05,0.4,7.4
4.970e-05,0.32,7.6
4.980e-05,0.4,7.4
4.990e-05,0.4,7.4
5.000e-05,0.32,7.4
5.010e-05,0.4,7.4
5.020e-05,0.32,7.6
5.030e-05,0.4,7.4
5.040e-05,0.32,7.6
5.050e-05,0.32,7.4
5.060e-05,0.32,7.4
5.070e-05,0.32,7.4
5.080e-05,0.32,7.4
5.090e-05,0.32,7.4
5.100e-05,0.32,7.4
5.110e-05,0.32,7.6
5.120e-05,0.32,7.2
5.130e-05,0.32,7.4
5.140e-05,0.32,7.4
5.150e-05,0.32,7.2
5.160e-05,0.32,7.4
5.170e-05,0.32,7.2
5.180e-05,0.4,7.4
5.190e-05,0.32,7.4
5.200e-05,0.32,7.2
5.210e-05,0.4,7.4
5.220e-05,0.32,7.6
5.230e-05,0.4,7.6
5.240e-05,0.4,7.4
5.250e-05,0.32,7.2
5.260e-05,0.24,7.4
5.270e-05,0.4,7.2
5.280e-05,0.4,7.6
5.290e-05,0.32,7.2
5.300e-05,0.32,7.2
5.310e-05,0.4,7.2
5.320e-05,0.32,7.2
5.330e-05,0.24,7.4
5.340e-05,0.24,7.6
5.350e-05,0.32,7.4
5.360e-05,0.32,7.6
5.370e-05,0.4,7.2
5.380e-05,0.32,7.2
5.390e-05,0.32,7.4
5.400e-05,0.24,7.4
5.410e-05,0.32,7.2
5.420e-05,0.32,7.2
5.430e-05,0.32,7.4
5.440e-05,0.24,7.2
5.450e-05,0.32,7.2
5.460e-05,0.32,7.2
5.470e-05,0.32,7.4
5.480e-05,0.32,7.4
5.490e-05,0.24,7.2
5.500e-05,0.32,7.2
5.510e-05,0.24,7.2
5.520e-05,0.32,7.4
5.530e-05,0.24,7.2
5.540e-05,0.4,7
5.550e-05,0.24,7.2
5.560e-05,0.24,7.2
5.570e-05,0.32,7.4
5.580e-05,0.24,7
5.590e-05,0.24,7.4
5.600e-05,0.24,7
5.610e-05,0.24,7.4
5.620e-05,0.32,7.2
5.630e-05,0.24,7
5.640e-05,0.32,7.2
5.650e-05,0.24,7
5.660e-05,0.32,7.2
5.670e-05,0.16,7.2
5.680e-05,0.32,7.2
5.690e-05,0.32,7.2
5.700e-05,0.24,7.4
5.710e-05,0.24,7.2
5.720e-05,0.24,7.2
5.730e-05,0.24,7.2
5.740e-05,0.24,7.2
5.750e-05,0.24,7.2
5.760e-05,0.32,7.2
5.770e-05,0.24,7.4
5.780e-05,0.32,7
5.790e-05,0.16,7
5.800e-05,0.24,7.2
5.810e-05,0.24,7.2
5.820e-05,0.24,7.2
5.830e-05,0.32,7.2
5.840e-05,0.24,7.2
5.850e-05,0.24,7.2
5.860e-05,0.32,7.2
5.870e-05,0.32,7.2
5.880e-05,0.24,7
5.890e-05,0.32,7.2
5.900e-05,0.16,7
5.910e-05,0.24,6.8
5.920e-05,0.24,7
5.930e-05,0.32,7.2
5.940e-05,0.32,7
5.950e-05,0.24,7.2
5.960e-05,0.32,7
5.970e-05,0.16,7
5.980e-05,0.32,7.2
5.990e-05,0.24,7
6.000e-05,0.24,7.2
6.010e-05,0.24,7.2
6.020e-05,0.24,7.2
6.030e-05,0.24,7
6.040e-05,0.24,6.8
6.050e-05,0.32,7
6.060e-05,0.32,7
6.070e-05,0.32,7
6.080e-05,0.32,7
6.090e-05,0.32,7
6.100e-05,0.16,7
6.110e-05,0.24,7.2
6.120e-05,0.24,7
6.130e-05,0.32,7
6.140e-05,0.16,7
6.150e-05,0.32,7
6.160e-05,0.16,6.8
6.170e-05,0.32,7.2
6.180e-05,0.24,6.8
6.190e-05,0.24,7
6.200e-05,0.24,6.8
6.210e-05,0.24,7.2
6.220e-05,0.32,6.8
6.230e-05,0.24,7.2
6.240e-05,0.24,7
6.250e-05,0.16,7
6.260e-05,0.24,6.8
6.270e-05,0.24,6.8
6.280e-05,0.16,7
6.290e-05,0.24,7
6.300e-05,0.32,7
6.310e-05,0.24,6.8
6.320e-05,0.32,7
6.330e-05,0.16,6.8
6.340e-05,0.16,6.8
6.350e-05,0.24,7
6.360e-05,0.32,7
6.370e-05,0.32,7
6.380e-05,0.24,7
6.390e-05,0.24,7
6.400e-05,0.24,7
6.410e-05,0.32,6.8
6.420e-05,0.16,6.8
6.430e-05,0.24,7
6.440e-05,0.24,6.8
6.450e-05,0.24,7
6.460e-05,0.24,6.8
6.470e-05,0.24,6.8
6.480e-05,0.24,6.8
6.490e-05,0.24,7
6.500e-05,0.24,6.8
6.510e-05,0.16,6.8
6.520e-05,0.24,7.2
6.530e-05,0.24,7
6.540e-05,0.24,7
6.550e-05,0.16,6.8
6.560e-05,0.24,6.8
6.570e-05,0.32,6.8
6.580e-05,0.24,6.8
6.590e-05,0.16,6.8
6.600e-05,0.32,6.6
6.610e-05,0.16,6.8
6.620e-05,0.32,6.8
6.630e-05,0.16,6.8
6.640e-05,0.24,6.6
6.650e-05,0.16,6.8
6.660e-05,0.24,6.6
6.670e-05,0.16,6.6
6.680e-05,0.16,6.6
6.690e-05,0.16,7
6.700e-05,0.16,6.8
6.710e-05,0.24,6.8
6.720e-05,0.16,6.6
6.730e-05,0.16,6.8
6.740e-05,0.16,6.8
6.750e-05,0.24,6.6
6.760e-05,0.24,6.8
6.770e-05,0.16,6.8
6.780e-05,0.24,6.8
6.790e-05,0.16,6.8
6.800e-05,0.16,6.8
6.810e-05,0.24,6.8
6.820e-05,0.16,6.6
6.830e-05,0.24,6.8
6.840e-05,0.16,6.8
6.850e-05,0.24,6.6
6.860e-05,0.16,6.8
6.870e-05,0.08,6.6
6.880e-05,0.16,6.6
6.890e-05,0.24,6.8
6.900e-05,0.24,6.8
6.910e-05,0.16,6.6
6.920e-05,0.24,6.8
6.930e-05,0.16,6.4
6.940e-05,0.24,6.6
6.950e-05,0.24,6.6
6.960e-05,0.16,6.8
6.970e-05,0.24,6.8
6.980e-05,0.16,6.8
6.990e-05,0.24,6.8
7.000e-05,0.24,6.6
7.010e-05,0.24,6.6
7.020e-05,0.24,6.6
7.030e-05,0.24,6.6
7.040e-05,0.16,6.8
7.050e-05,0.24,6.6
7.060e-05,0.16,6.6
7.070e-05,0.24,6.8
7.080e-05,0.16,6.6
7.090e-05,0.24,6.6
7.100e-05,0.16,6.6
7.110e-05,0.16,6.6
7.120e-05,0.24,6.6
7.130e-05,0.16,6.6
7.140e-05,0.24,6.6
7.150e-05,0.16,6.6
7.160e-05,0.24,6.8
7.170e-05,0.16,6.6
7.180e-05,0.16,6.6
7.190e-05,0.16,6.6
7.200e-05,0.24,6.4
7.210e-05,0.16,6.8
7.220e-05,0.24,6.4
7.230e-05,0.32,6.4
7.240e-05,0.24,6.6
7.250e-05,0.24,6.6
7.260e-05,0.24,6.6
7.270e-05,0.16,6.6
7.280e-05,0.16,6.4
7.290e-05,0.24,6.6
7.300e-05,0.16,6.6
7.310e-05,0.16,6.6
7.320e-05,0.24,6.4
7.330e-05,0.16,6.6
7.340e-05,0.16,6.6
7.350e-05,0.16,6.8
7.360e-05,0.24,6.6
7.370e-05,0.16,6.4
7.380e-05,0.24,6.6
7.390e-05,0.16,6.6
7.400e-05,0.16,6.4
7.410e-05,0.16,6.4
7.420e-05,0.24,6.6
7.430e-05,0.16,6.6
7.440e-05,0.24,6.6
7.450e-05,0.24,6.4
7.460e-05,0.24,6.2
7.470e-05,0.24,6.4
7.480e-05,0.24,6.6
7.490e-05,0.16,6.4
7.500e-05,0.16,6.6
7.510e-05,0.16,6.4
7.520e-05,0.16,6.4
7.530e-05,0.08,6.4
7.540e-05,0.08,6.6
7.550e-05,0.16,6.4
7.560e-05,0.16,6.4
7.570e-05,0.24,6.4
7.580e-05,0.08,6.6
7.590e-05,0.16,6.4
7.600e-05,0.08,6.6
7.610e-05,0.08,6.4
7.620e-05,0.16,6.2
7.630e-05,0.24,6.4
7.640e-05,0.24,6.8
7.650e-05,0.08,6.6
7.660e-05,0.24,6.4
7.670e-05,0.24,6.2
7.680e-05,0.24,6.4
7.690e-05,0.16,6.4
7.700e-05,0.24,6.4
7.710e-05,0.16,6.4
7.720e-05,0.16,6.4
7.730e-05,0.16,6.2
7.740e-05,0.24,6.4
7.750e-05,0.24,6.4
7.760e-05,0.24,6.2
7.770e-05,0.16,6.6
7.780e-05,0.16,6.2
7.790e-05,0.16,6.4
7.800e-05,0.16,6.4
7.810e-05,0.24,6.4
7.820e-05,0.24,6.4
7.830e-05,0.24,6.4
7.840e-05,0.16,6.4
7.850e-05,0.24,6.4
7.860e-05,0.16,6.4
7.870e-05,0.24,6.2
7.880e-05,0.16,6.4
7.890e-05,0.24,6.4
7.900e-05,0.16,6.2
7.910e-05,0.16,6.2
7.920e-05,0.16,6.2
7.930e-05,0.16,6.4
7.940e-05,0.08,6.2
7.950e-05,0.08,6.4
7.960e-05,0.16,6.2
7.970e-05,0.16,6.2
7.980e-05,0.16,6.4
7.990e-05,0.16,6.2
8.000e-05,0.16,6
8.010e-05,0.16,6.2
8.020e-05,0.24,6.4
8.030e-05,0.08,6.2
8.040e-05,0.16,6.2
8.050e-05,0.08,6.2
8.060e-05,0.16,6
8.070e-05,0.16,6.4
8.080e-05,0.16,6.2
8.090e-05,0.24,6.2
8.100e-05,0.16,6.2
8.110e-05,0.08,6.2
8.120e-05,0.16,6.4
8.130e-05,0.08,6.2
8.140e-05,0.08,6.4
8.150e-05,0.24,6.2
8.160e-05,0.24,6.4
8.170e-05,0.16,6.2
8.180e-05,0.24,6.2
8.190e-05,0.24,6.2
8.200e-05,0.24,6.2
8.210e-05,0.16,6.2
8.220e-05,0.24,6
8.230e-05,0.16,6.4
8.240e-05,0.16,6.4
8.250e-05,0.16,6.2
8.260e-05,0.24,6.2
8.270e-05,0.16,6
8.280e-05,0.08,6.2
8.290e-05,0.08,6.2
8.300e-05,0.16,6.2
8.310e-05,0.16,6.4
8.320e-05,0.08,6
8.330e-05,0.16,6.2
8.340e-05,0.16,6.2
8.350e-05,0.16,6.2
8.360e-05,0.16,6.4
8.370e-05,0.24,6.2
8.380e-05,0.08,6.2
8.390e-05,0.24,6.2
8.400e-05,0.16,6.2
8.410e-05,0.24,6
8.420e-05,0.24,6.4
8.430e-05,0.08,6.2
8.440e-05,0.16,6
8.450e-05,0.08,6.4
8.460e-05,0.16,6
8.470e-05,0.16,6.2
8.480e-05,0.24,6.2
8.490e-05,0.08,6.2
8.500e-05,0.08,6.2
8.510e-05,0.08,6.2
8.520e-05,0.24,6
8.530e-05,0.16,6
8.540e-05,0.08,6.2
8.550e-05,0.08,6.2
8.560e-05,0.08,6.2
8.570e-05,0.16,6
8.580e-05,0.16,6
8.590e-05,0.16,5.8
8.600e-05,0.16,6
8.610e-05,0.16,6
8.620e-05,0.08,5.8
8.630e-05,0.16,6
8.640e-05,0.16,6
8.650e-05,0.24,5.8
8.660e-05,0.08,6
8.670e-05,0.08,6
8.680e-05,0.16,6
8.690e-05,0.08,6
8.700e-05,0.16,6.2
8.710e-05,0.16,6
8.720e-05,0.16,5.8
8.730e-05,0.32,6
8.740e-05,0.08,6
8.750e-05,0.16,6.2
8.760e-05,0.08,6
8.770e-05,0.16,6.2
8.780e-05,0.24,5.8
8.790e-05,0.08,6
8.800e-05,0.16,6.2
8.810e-05,0.16,5.8
8.820e-05,0.08,6
8.830e-05,0.16,6
8.840e-05,0.16,5.8
8.850e-05,0.08,6
8.860e-05,0.08,6
8.870e-05,0.16,6
8.880e-05,0.16,6
8.890e-05,0.24,6
8.900e-05,0.08,6
8.910e-05,0.08,5.8
8.920e-05,0.08,6
8.930e-05,0.24,6
8.940e-05,0.08,5.8
8.950e-05,0.24,5.8
8.960e-05,0.08,5.8
8.970e-05,0.08,5.8
8.980e-05,0.16,5.8
8.990e-05,0.16,5.8
9.000e-05,0.16,6
9.010e-05,0.08,5.8
9.020e-05,0.08,6
9.030e-05,0.08,6
9.040e-05,0.16,5.8
9.050e-05,0.08,5.8
9.060e-05,0.08,5.8
9.070e-05,0.08,5.8
9.080e-05,0.16,5.8
9.090e-05,0.16,5.8
9.100e-05,0.16,6
9.110e-05,0.08,5.8
9.120e-05,0.16,5.8
9.130e-05,0.16,6
9.140e-05,0.16,5.8
9.150e-05,0.16,5.8
9.160e-05,0.08,5.8
9.170e-05,0.16,5.8
9.180e-05,0.08,5.8
9.190e-05,0.08,5.8
9.200e-05,0.16,5.8
9.210e-05,0.24,5.8
9.220e-05,0.16,5.6
9.230e-05,0.08,5.8
9.240e-05,0.16,5.8
9.250e-05,0.08,6
9.260e-05,0.16,6
9.270e-05,0.16,5.8
9.280e-05,0.16,5.8
9.290e-05,0.16,5.8
9.300e-05,0.24,6
9.310e-05,0.08,5.8
9.320e-05,0.08,5.8
9.330e-05,0.08,5.6
9.340e-05,0.16,6
9.350e-05,0.16,5.8
9.360e-05,0.16,5.8
9.370e-05,0.16,5.8
9.380e-05,0.16,5.8
9.390e-05,0.16,6
9.400e-05,0.24,5.8
9.410e-05,0.08,5.8
9.420e-05,0.16,5.8
9.430e-05,0.24,5.8
9.440e-05,0.08,5.8
9.450e-05,0.16,5.6
9.460e-05,0.08,5.8
9.470e-05,0.24,5.8
9.480e-05,0.16,5.8
9.490e-05,0.16,5.6
9.500e-05,0.16,5.8
9.510e-05,0.16,5.6
9.520e-05,0.08,5.6
9.530e-05,0.16,5.8
9.540e-05,0.16,6
9.550e-05,0.08,5.6
9.560e-05,0.08,5.8
9.570e-05,0.16,5.4
9.580e-05,0.16,5.8
9.590e-05,0.16,5.8
9.600e-05,0.16,5.8
9.610e-05,0.16,5.8
9.620e-05,0.24,5.8
9.630e-05,0.16,5.6
9.640e-05,0.08,5.6
9.650e-05,0.08,5.8
9.660e-05,0.24,5.4
9.670e-05,0.08,5.8
9.680e-05,0.08,5.6
9.690e-05,0.08,5.8
9.700e-05,0.16,5.6
9.710e-05,0.16,5.6
9.720e-05,0.08,5.8
9.730e-05,0.08,5.4
9.740e-05,0.08,5.8
9.750e-05,0.24,5.6
9.760e-05,0.16,5.6
9.770e-05,0.16,5.6
9.780e-05,0.08,5.8
9.790e-05,0.16,5.6
9.800e-05,0.16,5.6
9.810e-05,0.08,5.4
9.820e-05,0.08,5.8
9.830e-05,0.16,5.8
9.840e-05,0.16,5.8
9.850e-05,0.16,5.8
9.860e-05,0.08,5.6
9.870e-05,0.16,5.4
9.880e-05,0.16,5.6
9.890e-05,0.24,5.4
9.900e-05,0.16,5.8
9.910e-05,0.16,5.6
9.920e-05,0.16,5.6
9.930e-05,0.16,5.8
9.940e-05,0.08,5.6
9.950e-05,0.24,5.4
9.960e-05,0.16,5.6
9.970e-05,0.16,5.8
9.980e-05,0.16,5.4
9.990e-05,0.08,5.4
1.000e-04,0.16,5.6
1.001e-04,0.08,5.6
1.002e-04,0.16,5.4
1.003e-04,0.16,5.6
1.004e-04,0.16,5.4
1.005e-04,0.08,5.4
1.006e-04,0.16,5.4
1.007e-04,0.08,5.6
1.008e-04,0.16,5.4
1.009e-04,0.24,5.4
1.010e-04,0.08,5.8
1.011e-04,0.16,5.6
1.012e-04,0.16,5.8
1.013e-04,0.08,5.4
1.014e-04,0.16,5.6
1.015e-04,0.16,5.4
1.016e-04,0.16,5.6
1.017e-04,0.32,5.6
1.018e-04,0.08,5.4
1.019e-04,0.16,5.6
1.020e-04,0.24,5.6
1.021e-04,0.08,5.4
1.022e-04,0.16,5.6
1.023e-04,0.16,5.6
1.024e-04,0.16,5.6
1.025e-04,0.16,5.4
1.026e-04,0.16,5.4
1.027e-04,0.16,5.4
1.028e-04,0.08,5.6
1.029e-04,0.16,5.6
1.030e-04,0.08,5.6
1.031e-04,0.16,5.4
1.032e-04,0.08,5.4
1.033e-04,0.24,5.2
1.034e-04,0.08,5.4
1.035e-04,0.08,5.4
1.036e-04,0.16,5.4
1.037e-04,0.16,5.4
1.038e-04,0.16,5.4
1.039e-04,0.24,5.6
1.040e-04,0.16,5.6
1.041e-04,0.16,5.4
1.042e-04,0.24,5.4
1.043e-04,0.16,5.2
1.044e-04,0.16,5.4
1.045e-04,0.08,5.2
1.046e-04,0.16,5.4
1.047e-04,0.16,5.4
1.048e-04,0.16,5.2
1.049e-04,0.16,5.4
1.050e-04,0.16,5.2
1.051e-04,0.24,5.6
1.052e-04,0.08,5.4
1.053e-04,0.16,5.2
1.054e-04,0.08,5.2
1.055e-04,0.08,5.6
1.056e-04,0,5.4
1.057e-04,0.16,5.2
1.058e-04,0.08,5.4
1.059e-04,0.16,5.4
1.060e-04,0.08,5.4
1.061e-04,0.08,5.4
1.062e-04,0.16,5.4
1.063e-04,0.16,5.4
1.064e-04,0.16,5.2
1.065e-04,0.16,5.6
1.066e-04,0.16,5.4
1.067e-04,0.16,5.4
1.068e-04,0.24,5.4
1.069e-04,0.08,5.4
1.070e-04,0.16,5.2
1.071e-04,0,5.4
1.072e-04,0.24,5.2
1.073e-04,0.16,5.4
1.074e-04,0.16,5.2
1.075e-04,0.16,5.2
1.076e-04,0.16,5.4
1.077e-04,0.16,5.2
1.078e-04,0.24,5.4
1.079e-04,0.16,5.2
1.080e-04,0.08,5.4
1.081e-04,0.16,5.4
1.082e-04,0.08,5.2
1.083e-04,0.24,5.2
1.084e-04,0.16,5.4
1.085e-04,0.16,5.2
1.086e-04,0.08,5.4
1.087e-04,0.16,5.2
1.088e-04,0.16,5.2
1.089e-04,0.16,5.2
1.090e-04,0.16,5.2
1.091e-04,0.16,5.4
1.092e-04,0.16,5.2
1.093e-04,0.16,5.4
1.094e-04,0.08,5.4
1.095e-04,0.08,5.4
1.096e-04,0.16,5.2
1.097e-04,0.16,5.2
1.098e-04,0.16,5.4
1.099e-04,0.16,5.2
1.100e-04,0.16,5.2
1.101e-04,0.08,5.2
1.102e-04,0.16,5.4
1.103e-04,0.16,5
1.104e-04,0.16,5.4
1.105e-04,0.16,5.2
1.106e-04,0.08,5.2
1.107e-04,0.16,5.2
1.108e-04,0.16,5.2
1.109e-04,0,5.4
1.110e-04,0.24,5.2
1.111e-04,0.16,5.2
1.112e-04,0.08,5.2
1.113e-04,0.24,5.2
1.114e-04,0.08,5.2
1.115e-04,0.16,5.2
1.116e-04,0.08,5
1.117e-04,0.16,5.4
1.118e-04,0.16,5
1.119e-04,0.08,5.2
1.120e-04,0.16,5.4
1.121e-04,0.08,5.2
1.122e-04,0.16,5.2
1.123e-04,0.16,5.2
1.124e-04,0.08,5.2
1.125e-04,0.08,5.2
1.126e-04,0.08,5.2
1.127e-04,0.16,5.2
1.128e-04,0.16,5.2
1.129e-04,0.08,5.2
1.130e-04,0.16,5.2
1.131e-04,0.08,5.2
1.132e-04,0.08,5.2
1.133e-04,0.16,5.2
1.134e-04,0.08,5.2
1.135e-04,0.08,5.2
1.136e-04,0.08,5.2
1.137e-04,0,5.4
1.138e-04,0.16,5.2
1.139e-04,0.08,5
1.140e-04,0.08,5.2
1.141e-04,0.16,5
1.142e-04,0.24,5.2
1.143e-04,0.16,5.2
1.144e-04,0.16,5
1.145e-04,0.24,5
1.146e-04,0.16,5
1.147e-04,0.16,5.2
1.148e-04,0.08,5
1.149e-04,0.08,5
1.150e-04,0.08,5.2
1.151e-04,0.08,5.2
1.152e-04,0.16,5.2
1.153e-04,0.16,5
1.154e-04,0.16,5
1.155e-04,0.08,5
1.156e-04,0.16,5
1.157e-04,0.16,5.2
1.158e-04,0.08,5.2
1.159e-04,0.24,5.2
1.160e-04,0.24,5.2
1.161e-04,0.16,5.2
1.162e-04,0.08,5
1.163e-04,0.16,5.2
1.164e-04,0.16,5
1.165e-04,0.16,5.2
1.166e-04,0.08,5.2
1.167e-04,0.08,5
1.168e-04,0.08,5.2
1.169e-04,0.16,5.2
1.170e-04,0.16,5.2
1.171e-04,0.08,5
1.172e-04,0.16,5.2
1.173e-04,0.08,5.2
1.174e-04,0.08,5
1.175e-04,0.16,5
1.176e-04,0.16,5
1.177e-04,0.16,5
1.178e-04,0.08,5
1.179e-04,0.16,5
1.180e-04,0.08,5
1.181e-04,0.16,5
1.182e-04,0.08,4.8
1.183e-04,0.24,5.2
1.184e-04,0.16,5
1.185e-04,0.16,4.8
1.186e-04,0.08,5
1.187e-04,0.08,5
1.188e-04,0.16,5
1.189e-04,0.24,4.8
1.190e-04,0.16,5
1.191e-04,0.08,5
1.192e-04,0.16,4.6
1.193e-04,0.16,5.2
1.194e-04,0.08,4.8
1.195e-04,0.08,5
1.196e-04,0.16,4.8
1.197e-04,0.08,5
1.198e-04,0.08,5
1.199e-04,0.08,5
1.200e-04,0.08,5
1.201e-04,0.08,5.2
1.202e-04,0.08,4.8
1.203e-04,0.24,5.2
1.204e-04,0.16,4.8
1.205e-04,0.08,4.8
1.206e-04,0.16,4.8
1.207e-04,0.24,4.8
1.208e-04,0.16,4.8
1.209e-04,0.24,5
1.210e-04,0.16,4.8
1.211e-04,0.08,4.8
1.212e-04,0.08,5.2
1.213e-04,0.08,4.6
1.214e-04,0.16,5
1.215e-04,0.08,5
1.216e-04,0.16,5
1.217e-04,0.08,5.2
1.218e-04,0.08,5
1.219e-04,0.16,5
1.220e-04,0.08,5
1.221e-04,0.24,4.8
1.222e-04,0.08,4.8
1.223e-04,0.24,4.8
1.224e-04,0,4.8
1.225e-04,0.24,4.8
1.226e-04,0.08,4.8
1.227e-04,0.16,4.8
1.228e-04,0.16,5
1.229e-04,0.16,5
1.230e-04,0.16,4.8
1.231e-04,0.16,4.8
1.232e-04,0.08,4.8
1.233e-04,0.08,5
1.234e-04,0.08,4.8
1.235e-04,0.08,4.8
1.236e-04,0.08,4.6
1.237e-04,0.08,5
1.238e-04,0.08,4.8
1.239e-04,0.08,4.6
1.240e-04,0.16,4.8
1.241e-04,0.08,4.6
1.242e-04,0.16,4.8
1.243e-04,0.24,4.8
1.244e-04,0.08,4.8
1.245e-04,0.08,4.8
1.246e-04,0.08,4.8
1.247e-04,0.16,4.8
1.248e-04,0.08,4.8
1.249e-04,0.08,4.8
1.250e-04,0.08,4.8
1.251e-04,0.16,4.8
1.252e-04,0.08,4.8
1.253e-04,0.16,4.6
1.254e-04,0.16,4.8
1.255e-04,0.16,5
1.256e-04,0.16,4.8
1.257e-04,0.16,4.8
1.258e-04,0.16,4.8
1.259e-04,0.16,4.8
1.260e-04,0.16,4.8
1.261e-04,0.08,4.8
1.262e-04,0.16,4.8
1.263e-04,0.08,4.8
1.264e-04,0.08,4.8
1.265e-04,0.24,4.8
1.266e-04,0.08,4.8
1.267e-04,0.16,5
1.268e-04,0.16,5
1.269e-04,0.24,4.8
1.270e-04,0.08,4.6
1.271e-04,0.08,4.8
1.272e-04,0.16,4.8
1.273e-04,0.16,4.8
1.274e-04,0.08,4.6
1.275e-04,0.16,4.8
1.276e-04,0.08,4.8
1.277e-04,0,4.8
1.278e-04,0.16,4.8
1.279e-04,0.16,4.6
1.280e-04,0.16,4.8
1.281e-04,0.16,4.6
1.282e-04,0.16,4.8
1.283e-04,0.16,4.8
1.284e-04,0.08,4.6
1.285e-04,0.08,4.6
1.286e-04,0.08,4.8
1.287e-04,0.08,4.6
1.288e-04,0.08,4.8
1.289e-04,0.08,4.8
1.290e-04,0.16,4.8
1.291e-04,0.24,4.6
1.292e-04,0.16,4.8
1.293e-04,0.16,4.4
1.294e-04,0.16,4.8
1.295e-04,0.08,4.6
1.296e-04,0.08,4.8
1.297e-04,0.16,4.8
1.298e-04,0.16,4.8
1.299e-04,0.08,4.8
1.300e-04,0.16,4.6
1.301e-04,0.16,4.8
1.302e-04,0.08,4.6
1.303e-04,0.16,4.6
1.304e-04,0.08,4.6
1.305e-04,0.16,4.8
1.306e-04,0.16,4.8
1.307e-04,0.16,4.6
1.308e-04,0.08,4.4
1.309e-04,0.08,4.8
1.310e-04,0.08,4.6
1.311e-04,0.16,4.6
1.312e-04,0.08,4.6
1.313e-04,0.08,4.8
1.314e-04,0.16,4.8
1.315e-04,0.08,4.8
1.316e-04,0.08,4.6
1.317e-04,0.16,4.8
1.318e-04,0.08,4.6
1.319e-04,0.16,4.6
1.320e-04,0.16,4.4
1.321e-04,0.16,4.6
1.322e-04,0.08,4.6
1.323e-04,0.16,4.8
1.324e-04,0.08,4.6
1.325e-04,0.16,4.8
1.326e-04,0.16,4.6
1.327e-04,0.08,4.6
1.328e-04,0.16,4.4
1.329e-04,0.16,4.6
1.330e-04,0.16,4.8
1.331e-04,0.16,4.6
1.332e-04,0.16,4.8
1.333e-04,0.16,4.8
1.334e-04,0.08,4.6
1.335e-04,0.16,4.8
1.336e-04,0,4.6
1.337e-04,0.16,4.4
1.338e-04,0.16,4.6
1.339e-04,0.08,4.6
1.340e-04,0.16,4.6
1.341e-04,0.16,4.8
1.342e-04,0.16,4.4
1.343e-04,0.16,4.6
1.344e-04,0.16,4.6
1.345e-04,0.16,4.6
1.346e-04,0.08,4.6
1.347e-04,0.08,4.4
1.348e-04,0.16,4.8
1.349e-04,0.08,4.6
1.350e-04,0.16,4.4
1.351e-04,0.16,4.4
1.352e-04,0.16,4.6
1.353e-04,0.16,4.4
1.354e-04,0.16,4.6
1.355e-04,0.08,4.4
1.356e-04,0.08,4.6
1.357e-04,0.16,4.4
1.358e-04,0.08,4.4
1.359e-04,0.08,4.4
1.360e-04,0.16,4.4
1.361e-04,0,4.6
1.362e-04,0.08,4.6
1.363e-04,0.08,4.4
1.364e-04,0.16,4.4
1.365e-04,0.08,4.6
1.366e-04,0.24,4.4
1.367e-04,0.08,4.4
1.368e-04,0.24,4.6
1.369e-04,0.16,4.6
1.370e-04,0.08,4.4
1.371e-04,0.16,4.6
1.372e-04,0.24,4.6
1.373e-04,0.24,4.6
1.374e-04,0.08,4.4
1.375e-04,0.16,4.4
1.376e-04,0.16,4.6
1.377e-04,0.08,4.4
1.378e-04,0.16,4.4
1.379e-04,0.16,4.4
1.380e-04,0.16,4.4
1.381e-04,0.08,4.6
1.382e-04,0.08,4.4
1.383e-04,0.08,4.6
1.384e-04,0.08,4.6
1.385e-04,0.16,4.4
1.386e-04,0.16,4.4
1.387e-04,0.08,4.4
1.388e-04,0.16,4.4
1.389e-04,0.08,4.4
