Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0001,
Horizontal Delay,0.0003,
Sample Interval,1e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.813e-04,0.16,0.4
-1.812e-04,0.08,0.4
-1.811e-04,0.08,0.4
-1.810e-04,0.16,0.2
-1.809e-04,0.16,0.4
-1.808e-04,0.16,0.2
-1.807e-04,0.08,0.6
-1.806e-04,0.16,0.4
-1.805e-04,0.16,0.4
-1.804e-04,0.08,0.4
-1.803e-04,0.16,0.2
-1.802e-04,0.16,0.4
-1.801e-04,0.08,0
-1.800e-04,0.16,0.2
-1.799e-04,0.16,0.4
-1.798e-04,0.08,0.6
-1.797e-04,0.08,0.2
-1.796e-04,0.16,0.4
-1.795e-04,0.08,0
-1.794e-04,0.08,0.2
-1.793e-04,0.16,0.4
-1.792e-04,0.08,0.4
-1.791e-04,0.16,0.2
-1.790e-04,0.16,0.4
-1.789e-04,0.16,0.4
-1.788e-04,0.08,0.4
-1.787e-04,0.16,0.2
-1.786e-04,0.08,0.2
-1.785e-04,0.08,0.4
-1.784e-04,0.08,0.2
-1.783e-04,0.16,0.6
-1.782e-04,0.16,0.2
-1.781e-04,0.08,0.4
-1.780e-04,0.24,0.2
-1.779e-04,0.08,0.2
-1.778e-04,0.16,0.2
-1.777e-04,0.08,0.2
-1.776e-04,0.16,0.2
-1.775e-04,0.16,0.4
-1.774e-04,0.16,0.4
-1.773e-04,0.08,0.2
-1.772e-04,0.16,0.6
-1.771e-04,0.16,0.2
-1.770e-04,0.08,0.4
-1.769e-04,0.08,0.2
-1.768e-04,0.08,0.4
-1.767e-04,0.08,0.4
-1.766e-04,0.16,0.2
-1.765e-04,0.16,0.4
-1.764e-04,0.16,0.2
-1.763e-04,0.08,0.2
-1.762e-04,0.16,0.2
-1.761e-04,0.08,0.2
-1.760e-04,0.16,0.2
-1.759e-04,0.16,0.2
-1.758e-04,0.08,0.2
-1.757e-04,0.08,0.2
-1.756e-04,0.16,0.2
-1.755e-04,0.16,0.4
-1.754e-04,0.16,0.2
-1.753e-04,0.08,0.2
-1.752e-04,0.08,0.2
-1.751e-04,0.16,0.4
-1.750e-04,0.16,0.4
-1.749e-04,0.08,0.4
-1.748e-04,0.16,0.4
-1.747e-04,0.08,0.2
-1.746e-04,0.08,0.2
-1.745e-04,0,0.2
-1.744e-04,0.16,0.2
-1.743e-04,0.16,0.4
-1.742e-04,0.24,0.4
-1.741e-04,0.16,0.2
-1.740e-04,0.16,0.2
-1.739e-04,0.16,0.4
-1.738e-04,0.16,0.2
-1.737e-04,0.16,0.6
-1.736e-04,0.08,0.4
-1.735e-04,0.08,0.4
-1.734e-04,0.08,0.4
-1.733e-04,0.08,0.4
-1.732e-04,0.08,0.2
-1.731e-04,0.16,0.2
-1.730e-04,0.16,0.4
-1.729e-04,0.16,0.4
-1.728e-04,0.08,0.4
-1.727e-04,0.08,0.2
-1.726e-04,0.08,0.2
-1.725e-04,0.08,0.4
-1.724e-04,0.16,0.2
-1.723e-04,0.16,0.2
-1.722e-04,0.08,0.2
-1.721e-04,0.24,0.4
-1.720e-04,0.16,0.2
-1.719e-04,0.08,0.2
-1.718e-04,0.08,0.4
-1.717e-04,0.24,0.2
-1.716e-04,0.16,0.2
-1.715e-04,0.08,0.2
-1.714e-04,0.08,0
-1.713e-04,0.16,0.2
-1.712e-04,0.16,0.2
-1.711e-04,0.16,0.2
-1.710e-04,0.16,0.4
-1.709e-04,0.08,0.2
-1.708e-04,0.08,0.2
-1.707e-04,0.16,0.4
-1.706e-04,0.08,0.4
-1.705e-04,0.08,0.4
-1.704e-04,0.08,0.4
-1.703e-04,0.08,0.2
-1.702e-04,0.08,0.2
-1.701e-04,0.08,0.2
-1.700e-04,0.16,0
-1.699e-04,0.16,0.4
-1.698e-04,0.08,0.2
-1.697e-04,0.16,0.2
-1.696e-04,0.16,0.2
-1.695e-04,0.08,0.4
-1.694e-04,0.08,0.4
-1.693e-04,0.16,0.4
-1.692e-04,0.16,0.4
-1.691e-04,0.16,0.4
-1.690e-04,0.16,0.4
-1.689e-04,0.16,0.2
-1.688e-04,0.16,0.4
-1.687e-04,0.08,0.4
-1.686e-04,0.16,0.4
-1.685e-04,0.08,0.2
-1.684e-04,0.08,0.4
-1.683e-04,0.16,0.2
-1.682e-04,0.08,0.2
-1.681e-04,0.08,0.2
-1.680e-04,0.16,0.4
-1.679e-04,0.08,0.4
-1.678e-04,0.16,0.4
-1.677e-04,0.24,0.4
-1.676e-04,0.08,0.4
-1.675e-04,0.08,0
-1.674e-04,0.16,0.4
-1.673e-04,0.16,0.2
-1.672e-04,0.16,0.2
-1.671e-04,0.08,0.2
-1.670e-04,0.08,0.2
-1.669e-04,0.08,0.2
-1.668e-04,0.16,0
-1.667e-04,0.08,0.2
-1.666e-04,0.16,0.2
-1.665e-04,0.16,0.2
-1.664e-04,0.16,0.2
-1.663e-04,0.16,0.4
-1.662e-04,0.08,0.2
-1.661e-04,0.08,0.2
-1.660e-04,0.16,0.4
-1.659e-04,0.16,0.2
-1.658e-04,0.08,0.6
-1.657e-04,0.16,0.2
-1.656e-04,0.08,0.2
-1.655e-04,0.16,0.2
-1.654e-04,0.08,0.2
-1.653e-04,0,0.2
-1.652e-04,0.24,0.2
-1.651e-04,0.16,0.2
-1.650e-04,0.24,0.2
-1.649e-04,0.16,0.2
-1.648e-04,0.16,0.2
-1.647e-04,0.16,0
-1.646e-04,0.16,0
-1.645e-04,0.08,0.4
-1.644e-04,0.08,0.2
-1.643e-04,0.08,0
-1.642e-04,0.16,0.4
-1.641e-04,0.08,0.2
-1.640e-04,0.16,0
-1.639e-04,0.16,0
-1.638e-04,0.08,0.4
-1.637e-04,0,0.4
-1.636e-04,0.24,0.2
-1.635e-04,0.16,0.4
-1.634e-04,0.08,0.2
-1.633e-04,0.08,0.2
-1.632e-04,0.16,0.4
-1.631e-04,0.16,0.4
-1.630e-04,0.08,0.2
-1.629e-04,0.08,0.2
-1.628e-04,0.08,0.2
-1.627e-04,0.08,0.2
-1.626e-04,0.08,0.4
-1.625e-04,0.08,0.4
-1.624e-04,0.16,0.2
-1.623e-04,0.16,0.2
-1.622e-04,0.16,0.4
-1.621e-04,0.16,0
-1.620e-04,0.08,0.4
-1.619e-04,0.08,0.2
-1.618e-04,0.08,0.4
-1.617e-04,0.08,0.4
-1.616e-04,0.08,0.4
-1.615e-04,0.16,0.4
-1.614e-04,0.08,0
-1.613e-04,0.08,0.4
-1.612e-04,0.08,0.2
-1.611e-04,0.24,0.4
-1.610e-04,0.16,0.4
-1.609e-04,0.08,0.4
-1.608e-04,0.08,0.4
-1.607e-04,0.16,0.2
-1.606e-04,0.08,0.2
-1.605e-04,0.16,0.2
-1.604e-04,0.16,0
-1.603e-04,0.08,0.2
-1.602e-04,0.16,0.4
-1.601e-04,0.16,0.2
-1.600e-04,0.16,0.2
-1.599e-04,0.24,0.2
-1.598e-04,0.16,0.2
-1.597e-04,0.16,0.2
-1.596e-04,0.08,0.2
-1.595e-04,0.08,0.2
-1.594e-04,0.16,0.2
-1.593e-04,0.16,0.2
-1.592e-04,0.16,0.4
-1.591e-04,0.16,0.4
-1.590e-04,0.08,0.2
-1.589e-04,0.16,0.2
-1.588e-04,0.16,0.2
-1.587e-04,0.08,0.6
-1.586e-04,0.08,0
-1.585e-04,0,0.2
-1.584e-04,0.16,0.2
-1.583e-04,0.16,0.2
-1.582e-04,0.08,0.4
-1.581e-04,0.08,0.2
-1.580e-04,0.08,0.4
-1.579e-04,0.16,0.2
-1.578e-04,0.16,0.2
-1.577e-04,0.16,0.2
-1.576e-04,0.16,0.2
-1.575e-04,0.16,0.2
-1.574e-04,0.16,0
-1.573e-04,0.08,0.2
-1.572e-04,0.08,0.4
-1.571e-04,0.16,0.4
-1.570e-04,0.08,0.4
-1.569e-04,0.08,0.2
-1.568e-04,0.16,0.4
